Laser/facility,Institution,Country,Wavelength,Pulse energy,Pulse duration [fs],Peak power,Rep. rate,Year demonstrated,Laser technology,Reference DOI/link,Notes,Description
6.8 µm OPCPA,ICFO,Spain,6.8 µm,0.75 mJ,188 fs,0.0000039 PW,100 Hz,2019,Ho:YLF-pumped ZGP OPCPA,https://doi.org/10.1364/OL.44.003194,"ICFO’s Ho:YLF-pumped ZGP OPCPA produced 0.75 mJ, 188 fs pulses near 6.8 µm at 100 Hz, overlapping with the 7 µm OPCPA entry.","This OPCPA system generates ultrashort pulses near 6.8 µm using a Ho:YLF-pumped optical parametric architecture. It bridges the wavelength gap between conventional mid-infrared OPCPA systems and long-wave infrared laser technologies, supporting molecular spectroscopy and high-field applications."
4.4 TW OPCPA,Ludwig Maximilian University (LMU Munich) / Max Planck Institute of Quantum Optics (MPQ),Germany,810 nm,600 nJ,9 fs,0.0044 PW,5 Hz,2024,OPCPA,https://doi.org/10.1364/OPTICA.523525,"LMU/MPQ OPCPA is listed as a few-cycle 810 nm, 4.4 TW source, but the listed 600 nJ energy does not match the stated peak power and should be verified.",This 2.1 µm OPCPA system delivers 44 TW peak power while maintaining few-cycle pulse durations and high beam quality. It represents one of the most powerful ultrafast laser systems operating near the 2 µm wavelength and demonstrates the scalability of OPCPA technology beyond Ti:sapphire lasers.
3 µm Multi-mJ OPCPA,Instituto Superior Técnico,Portugal,3.0 µm,3.6 mJ,140 fs,0.0000257 PW,100 Hz,2021,OPCPA,https://doi.org/10.3390/photonics8110503,"IST’s 3.0 µm OPCPA delivered multi-mJ, 140 fs pulses at 100 Hz, providing a mid-IR source optimized for strong-field experiments.","This multi-millijoule OPCPA operating at 3 µm provides high pulse energy with femtosecond pulse durations for strong-field mid-infrared research. It serves as an important platform for high-harmonic generation, nonlinear optics, and laser-driven particle acceleration studies."
5.1 µm OPCPA,Max Born Institute for Nonlinear Optics and Short Pulse Spectroscopy,Germany,5.1 µm,0.65 mJ,75 fs,0.0000077 PW,1 kHz,2020,ZGP OPCPA,https://doi.org/10.1364/OL.45.005998,"MBI’s ZGP OPCPA produced 0.65 mJ, 75 fs pulses around 5.1 µm at 1 kHz, demonstrating high-repetition mid-IR few-cycle amplification.",This ZnGeP₂-based OPCPA system demonstrated one of the earliest high-energy femtosecond laser sources beyond 5 µm. It established the feasibility of scaling ultrafast mid-infrared lasers toward longer wavelengths while maintaining high peak power and excellent pulse quality.
SULF (Shanghai Superintense Ultrafast Laser Facility),Shanghai Institute of Optics and Fine Mechanics (SIOM) / ShanghaiTech University,China,808 nm,339 J,26.5 fs,12.8 PW,1 shot/min,2020,Ti:Sapphire CPA,Overview--Shanghai Superintense Ultrafast Laser Facility,"SULF is a SIOM/ShanghaiTech Ti:sapphire CPA facility targeting 10+ PW operation and listed here with a 12.8 PW, 808 nm, 339 J short-pulse capability.","SULF is one of the world's most powerful Ti:sapphire laser facilities, achieving a demonstrated peak power of 12.8 PW. Developed by the Shanghai Institute of Optics and Fine Mechanics (SIOM), it serves as a flagship user facility for relativistic laser–plasma physics, quantum electrodynamics (QED), particle acceleration, and high-energy-density science."
ELI-NP 10 PW Beamline,Extreme Light Infrastructure – Nuclear Physics,Romania,820 nm,250 J,25 fs,10 PW,1 shot/min,2019,Ti:Sapphire CPA,"World's most powerful laser, developed by Thales and ELI-NP, achieves record power level of 10 PW | Laser Focus World","ELI-NP’s 10 PW Ti:sapphire CPA beamline demonstrated 250 J, 25 fs pulses near 820 nm, making it one of the benchmark multi-petawatt laser facilities.","The ELI-NP High Power Laser System is the first operational user facility capable of delivering 10 PW laser pulses. Located in Romania, it combines two independent 10 PW beamlines with a gamma-beam facility to support nuclear physics, laser-driven particle acceleration, photonuclear experiments, and studies of matter under extreme electromagnetic fields."
ZEUS,University of Michigan,USA,800 nm,60 J,25 fs,2 PW,0.1 Hz ,2025,Ti:Sapphire CPA,The US has a new most powerful laser - Michigan Engineering News,"ZEUS at the University of Michigan is listed as a 2 PW, 800 nm Ti:sapphire CPA system designed to provide high-intensity laser access in the United States.","ZEUS (Zettawatt-Equivalent Ultrashort pulse laser System) is the newest flagship laser facility at the University of Michigan and currently the highest peak-power laser operating in the United States. Its 2 PW beamline is designed for laser wakefield acceleration, high-energy-density physics, and experiments reaching zettawatt-equivalent intensities in the electron rest frame."
CLAPA-II,Peking University,China,800 nm,50 J ,25 fs,2 PW,1 shot/min ,Commissioning,Ti:Sapphire CPA,The 2 PW/1 Hz laser system for laser-driven proton tumor therapy facility CLAPA-II: Compact laser plasma accelerator II.,CLAPA-II is a commissioning-stage 2 PW Ti:sapphire CPA system intended for laser-driven proton therapy and compact accelerator research.,CLAPA-II (Compact Laser Plasma Accelerator II) is a next-generation 2 PW Ti:sapphire laser facility being developed at Peking University for laser-driven proton acceleration and medical accelerator research. Its primary goal is to advance compact proton sources suitable for future cancer therapy while supporting high-intensity laser–plasma experiments.
LAP (TDLI),Tsinghua University,China,800 nm,75 J,25 fs,3 PW,1 shot/min ,Commissioning,Ti:Sapphire CPA,https://tdli.sjtu.edu.cn/en/research/astronomy-and-astrophysics-division/active,LAP at Tsinghua/Tsung-Dao Lee Institute is listed as a commissioning-stage 3 PW Ti:sapphire CPA system for high-intensity laser-plasma studies.,"The Laser for Astrophysics and Plasma Physics (LAP) is a multi-petawatt laser being constructed at the Tsung-Dao Lee Institute of Shanghai Jiao Tong University. It is designed to investigate laboratory astrophysics, relativistic plasma physics, and extreme laser–matter interactions at the frontier of high-field science."
SECUF,ShanghaiTech University,China,800 nm,25 J,25 fs,1 PW,1 Hz,Commissioning,Ti:Sapphire CPA,https://english.iop.cas.cn/rs/lsf/secuf/,"SECUF is a commissioning-stage 1 PW, 1 Hz Ti:sapphire CPA facility aimed at high-repetition ultrafast strong-field and plasma experiments.","SECUF (Station of Extreme Conditions User Facility) is a 1 PW Ti:sapphire laser platform developed by the Chinese Academy of Sciences to provide open access for high-field scientific research. The facility emphasizes reliable user operation and supports studies in plasma physics, ultrafast dynamics, particle acceleration, and secondary radiation generation."
RRCAT PW,"Raja Ramanna Centre for Advanced Technology (RRCAT), Indore",India,800 nm,25 J,25 fs,1 PW (design),Low repetition ,Commissioning,Ti:Sapphire CPA,https://www.icts.res.in/sites/default/files/LPA2017-2017-03-15-Chakera.pdf,"RRCAT PW is India’s commissioning/design petawatt Ti:sapphire CPA system targeting 25 J, 25 fs pulses for laser-plasma acceleration research.","The Raja Ramanna Centre for Advanced Technology (RRCAT) Petawatt Laser is India's first indigenous petawatt-class Ti:sapphire laser system. It is being commissioned for laser wakefield acceleration, relativistic laser–plasma interactions, and advanced accelerator research, representing a major milestone in India's high-power laser program."
NSF OPAL / EP-OPAL,"University of Rochester, Laboratory for Laser Energetics",USA,920 nm,500 J,20 fs,25 PW,TBD; design phase,Design/prototyping phase,All-OPCPA; DKDP amplifiers; OMEGA EP-coupled concept,https://nsf-opal.rochester.edu/capabilities/ ; https://www.osti.gov/pages/biblio/2573036,NSF OPAL/EP-OPAL is a design/prototyping all-OPCPA concept at LLE aiming for 25 PW-class pulses coupled to OMEGA EP capabilities.,"OPAL (Optical Petawatt Laser) is a proposed next-generation U.S. user facility being developed at the University of Rochester's Laboratory for Laser Energetics. The project aims to deliver two 25 PW all-OPCPA beamlines to support high-energy-density physics, laboratory astrophysics, inertial fusion science, and strong-field quantum electrodynamics experiments."
Vulcan 20-20,"Central Laser Facility, STFC Rutherford Appleton Laboratory",United Kingdom,910 nm,400 J ,20 fs,20 PW,1 shot / 5 min (design),Target late 2020s; not yet demonstrated,OPCPA upgrade; Nd:glass pump lasers,Mace | Building one of the world’s most powerful lasers,Vulcan 20-20 is a planned Central Laser Facility OPCPA upgrade targeting 20 PW pulses from 400 J in 20 fs at a low design repetition rate.,"Vulcan 20-20 is the major upgrade of the UK's Vulcan laser at the Central Laser Facility, increasing its capability from petawatt to approximately 20 PW operation. The upgrade emphasizes both extremely high peak power and improved experimental flexibility for particle acceleration, high-energy-density physics, fusion science, and laboratory astrophysics."
ELI Beamlines L4 ATON,"ELI Beamlines, ELI ERIC",Czech Republic,1053 nm,1500 J,150 fs,10 PW,1 shot / min (design),5.1 PW demonstrated in 2025; 10 PW design,Mixed Nd:glass / OPCPA-style high-energy CPA architecture,ELI’s L4 ATON Laser Reaches 5 Petawatt Output | Business | Oct 2025 | Photonics Spectra,ELI Beamlines L4 ATON is a high-energy CPA beamline with a 10 PW design goal and a reported multi-PW demonstrated milestone.,"The L4 ATON laser at ELI Beamlines is Europe's highest-energy ultrafast laser system and has demonstrated peak powers exceeding 5 PW while targeting 10 PW operation. Its exceptionally high pulse energy makes it a premier platform for relativistic laser–matter interaction, secondary particle generation, and high-energy-density physics experiments."
Apollon,LULI / CNRS / CEA / École Polytechnique / Université Paris-Saclay,France,800 nm,150 J,15 fs,10 PW,1 shot / min (design),2 PW demonstrated; 8-10 PW commissioning goal,OPCPA front end + Ti:sapphire amplification,APOLLON: a multi-PW laser facility (Conference Presentation),"Apollon is a French multi-PW facility using an OPCPA front end and Ti:sapphire amplification, with 10 PW-class design goals and staged commissioning.","Apollon is France's flagship multi-petawatt laser facility located at the Plateau de Saclay. Designed to reach 10 PW, it supports research in relativistic plasma physics, laser-driven particle acceleration, attosecond science, laboratory astrophysics, and strong-field quantum electrodynamics."
GEKKO-EXA / J-EPoCH,"Institute of Laser Engineering, Osaka University",Japan,910 nm,500 J,10 fs,50 PW,Shot on demand for 50 PW stage; earlier stages include 100 Hz and 0.01 Hz concepts,Concept / technology development,OPCPA using p-DKDP; pumped by DPSSL/split-disk/LFEX-derived pump concepts,GEKKO XII — Grokipedia,"GEKKO-EXA/J-EPoCH is a concept-stage Japanese OPCPA roadmap aiming toward 50 PW, 10 fs pulses using p-DKDP and high-energy pump lasers.","GEKKO-EXA (also referred to as the J-EPoCH concept) is a proposed high-energy laser initiative at Osaka University's Institute of Laser Engineering. It seeks to combine ultrahigh peak power with high repetition rate using advanced diode-pumped architectures, supporting inertial fusion energy, laboratory astrophysics, and advanced laser–plasma accelerator research."
